2017,Bangalore weather,,,,,,,,,,,,,,,,
DATE,temp_high,temp_avg,temp_low,dewpt_high,dewpt_avg,dewpt_low,hum_high,hum_avg,hum_low,press_high,press_avg,press_low,vis_high,vis_avg,vis_low,wind_high,wind_avg
17/12/17,27,21,16,17,15,12,94,67,35,-,-,-,10,4,2,26,14
18/12/17,25,19,14,15,13,12,83,59,42,1017,1017,1017,6,3,2,19,13
19/12/17,27,20,13,17,15,13,87,73,46,-,-,-,10,5,2,19,16
20/12/17,27,22,16,17,16,14,89,67,37,-,-,-,10,4,2,14,11
21/12/17,27,22,16,18,17,14,89,76,54,-,-,-,3,3,2,19,10
22/12/17,27,21,15,17,16,13,97,74,35,-,-,-,10,5,2,14,6
23/12/17,26,21,16,17,14,12,90,67,34,-,-,-,10,5,2,19,13
24/12/17,27,21,15,17,13,10,100,66,25,-,-,-,10,6,2,16,10
25/12/17,25,20,16,19,17,16,100,85,58,-,-,-,10,5,2,11,6
26/12/17,28,21,14,17,13,7,100,64,19,-,-,-,10,5,0,14,6
27/12/17,27,20,13,15,13,9,100,64,25,-,-,-,10,4,0,19,8
28/12/17,24,19,13,16,13,8,100,71,25,-,-,-,3,2,2,19,10
29/12/17,26,19,12,16,13,12,82,61,38,-,-,-,10,5,2,19,10
30/12/17,26,20,14,17,14,12,94,68,33,1015,1015,1015,4,3,2,14,6
31/12/17,27,19,14,18,15,12,99,70,33,-,-,-,10,5,2,10,6
